Country,Citations,h-index
United States,13836,59
China,7532,42
Germany,3262,29
Japan,1668,21
United Kingdom,1606,20
Netherlands,967,11
Canada,943,17
France,692,12
Greece,565,11
Australia,543,10
Brazil,526,14
Italy,322,8
Spain,288,9
Switzerland,265,7
Slovakia,261,3
Belgium,180,5
India,166,5
Taiwan,163,6
Sweden,132,6
Austria,121,6
Ireland,105,2
South Korea,76,3
Iran,66,1
Singapore,45,2
Thailand,44,2
Poland,41,2
Saudi Arabia,36,1
Denmark,33,3
Bulgaria,33,1
Turkey,29,1
Philippines,26,1
Indonesia,17,1
Mexico,16,1
Israel,16,1
Algeria,14,1
Czech Republic,12,1
Egypt,9,1
Romania,1,1
Portugal,0,0
Hungary,0,0
