Country,Publications,Multinational Publications
China,437,66
United States,426,142
Germany,60,47
Japan,45,16
United Kingdom,36,27
Brazil,25,19
Canada,24,15
France,16,9
Italy,14,12
Greece,14,3
Netherlands,13,7
Spain,13,10
Australia,12,8
Taiwan,11,0
Switzerland,9,7
Austria,8,7
Sweden,7,6
South Korea,6,3
Belgium,5,4
India,5,2
Denmark,4,4
Ireland,3,2
Poland,3,2
Slovakia,3,1
Thailand,2,1
Singapore,2,0
Portugal,1,1
Hungary,1,1
Saudi Arabia,1,0
Mexico,1,1
Bulgaria,1,1
Indonesia,1,1
Egypt,1,1
Iran,1,1
Algeria,1,1
Czech Republic,1,1
Philippines,1,1
Turkey,1,1
Israel,1,1
Romania,1,1
