Field,Publications,Citations,h-index
Cell Biology,196,4537,38
Respiratory System,182,6885,46
Biochemistry & Molecular Biology,164,3277,33
Physiology,113,3008,33
Immunology,111,2576,28
Pharmacology & Pharmacy,107,1658,25
"Medicine, Research & Experimental",104,2561,26
Hematology,61,1639,24
Multidisciplinary Sciences,57,2651,27
Critical Care Medicine,55,2093,25
Peripheral Vascular Disease,49,1453,21
Surgery,43,773,19
Cardiac & Cardiovascular Systems,28,680,12
Oncology,28,487,12
"Medicine, General & Internal",25,372,11
Biology,24,542,12
Pathology,23,692,12
"Chemistry, Multidisciplinary",22,466,10
Toxicology,20,242,10
Biophysics,18,232,10
"Chemistry, Medicinal",15,176,9
Endocrinology & Metabolism,14,237,6
Microbiology,14,420,9
Biotechnology & Applied Microbiology,14,221,7
Cell & Tissue Engineering,13,480,8
"Medicine, Research &",12,318,7
,9,287,6
Anesthesiology,8,249,6
Genetics & Heredity,8,82,7
Virology,7,217,6
Infectious Diseases,7,432,4
"Medicine,",6,129,6
Sport Sciences,6,71,5
Medical Laboratory Technology,5,200,5
Plant Sciences,4,54,3
Integrative & Complementary,4,54,3
Integrative & Complementary Medicine,4,17,2
"Radiology, Nuclear Medicine & Medical Imaging",4,40,2
Peripheral Vascular,4,58,4
Nanoscience & Nanotechnology,4,257,4
Allergy,3,2,1
Dermatology,3,18,2
Pediatrics,3,78,3
Parasitology,3,61,3
Transplantation,3,57,3
Microscopy,3,25,2
"Materials Science, Multidisciplinary",3,226,3
"Chemistry, Applied",2,18,1
Polymer Science,2,5,1
"Engineering, Biomedical",2,8,1
Emergency Medicine,2,7,1
Developmental Biology,2,16,2
Biochemical Research Methods,2,19,1
Gastroenterology & Hepatology,2,24,1
Geriatrics & Gerontology,2,41,2
Tropical Medicine,2,30,2
Substance Abuse,2,34,2
"Chemistry, Physical",1,0,0
Nanoscience &,1,0,0
Food Science &,1,0,0
Primary Health Care,1,45,1
Anatomy & Morphology,1,12,1
Veterinary Sciences,1,12,1
Ophthalmology,1,18,1
Nutrition & Dietetics,1,6,1
Environmental Sciences,1,15,1
Obstetrics & Gynecology,1,37,1
"Chemistry, Analytical",1,32,1
Pharmacology &,1,18,1
Endocrinology &,1,28,1
